city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tokyo,35.6897,139.6922,Japan,JP,Tōkyō,primary,37977000,13515271
Ōsaka,34.6936,135.5019,Japan,JP,Ōsaka,admin,14977000,2725006
Nagoya,35.1167,136.9333,Japan,JP,Aichi,admin,9113000,2320361
Yokohama,35.4333,139.6333,Japan,JP,Kanagawa,admin,3748781,3748781
Fukuoka,33.5903,130.4019,Japan,JP,Fukuoka,admin,2128000,1588924
Sapporo,43.0621,141.3544,Japan,JP,Hokkaidō,admin,1958756,1958756
Kyōto,35.0111,135.7669,Japan,JP,Kyōto,admin,1805000,1459640
Kōbe,34.6913,135.1830,Japan,JP,Hyōgo,admin,1522944,1522944
Kawanakajima,35.5300,139.7050,Japan,JP,Kanagawa,,1437266,1306785
Saitama,35.8617,139.6453,Japan,JP,Saitama,admin,1307931,1307931
Hiroshima,34.3853,132.4553,Japan,JP,Hiroshima,admin,1306589,1306589
Sendai,38.2683,140.8694,Japan,JP,Miyagi,admin,1058070,1058070
Kitaku,33.8704,130.8200,Japan,JP,Fukuoka,,997536,983037
Chiba,35.6000,140.1000,Japan,JP,Chiba,admin,980203,980203
Niigata,37.9161,139.0364,Japan,JP,Niigata,admin,796500,796500
Hamamatsu,34.7167,137.7333,Japan,JP,Shizuoka,,791770,791770
Kumamoto,32.8031,130.7078,Japan,JP,Kumamoto,admin,739393,739393
Sagamihara,35.5667,139.3667,Japan,JP,Kanagawa,,722828,722828
Okayama,34.6500,133.9167,Japan,JP,Okayama,admin,720865,720865
Shizuoka,34.9756,138.3825,Japan,JP,Shizuoka,admin,691185,691185
Honchō,35.6947,139.9825,Japan,JP,Chiba,,639107,639107
Kagoshima,31.5800,130.5281,Japan,JP,Kagoshima,admin,595319,595319
Kawaguchi,35.8078,139.7242,Japan,JP,Saitama,,592373,592373
Hachiōji,35.6667,139.3167,Japan,JP,Tōkyō,,577560,577560
Utsunomiya,36.5500,139.8833,Japan,JP,Tochigi,admin,519255,519255
Matsuyama,33.8333,132.7667,Japan,JP,Ehime,admin,509139,509139
Ichikawa,35.7219,139.9311,Japan,JP,Chiba,,495592,495592
Higashi-ōsaka,34.6794,135.6008,Japan,JP,Ōsaka,,494640,494640
Matsudo,35.7878,139.9031,Japan,JP,Chiba,,492671,492671
Nishinomiya-hama,34.7333,135.3333,Japan,JP,Hyōgo,,487413,487413
Ōita,33.2333,131.6067,Japan,JP,Ōita,admin,477701,477701
Kanazawa,36.5667,136.6500,Japan,JP,Ishikawa,admin,463873,463873
Fukuyama,34.4858,133.3625,Japan,JP,Hiroshima,,462203,462203
Machida,35.5486,139.4467,Japan,JP,Tōkyō,,434407,434407
Kashiwa,35.8544,139.9689,Japan,JP,Chiba,,429070,429070
Toyota,35.0833,137.1567,Japan,JP,Aichi,,426477,426477
Takamatsu,34.3500,134.0500,Japan,JP,Kagawa,admin,418772,418772
Toyama,36.7000,137.2200,Japan,JP,Toyama,admin,415816,415816
Nagasaki,32.7833,129.8667,Japan,JP,Nagasaki,admin,411421,411421
Gifu,35.4167,136.7667,Japan,JP,Gifu,admin,401534,401534
Miyazaki,31.9167,131.4167,Japan,JP,Miyazaki,admin,398307,398307
Okazaki,34.9500,137.1667,Japan,JP,Aichi,,387294,387294
Minamisuita,34.7667,135.5167,Japan,JP,Ōsaka,,381829,381829
Ichinomiya,35.3039,136.8031,Japan,JP,Aichi,,379689,379689
Toyohashi,34.7667,137.3833,Japan,JP,Aichi,,373234,373234
Nagano,36.6486,138.1928,Japan,JP,Nagano,admin,370057,370057
Wakayama,34.2333,135.1667,Japan,JP,Wakayama,admin,355825,355825
Nara,34.6833,135.7833,Japan,JP,Nara,admin,353989,353989
Koshigaya,35.8911,139.7908,Japan,JP,Saitama,,345458,345458
Ōtsu,35.0167,135.8500,Japan,JP,Shiga,admin,342175,342175
Tokorozawa,35.7994,139.4689,Japan,JP,Saitama,,341409,341409
Tamuramachi-moriyama,37.4100,140.3800,Japan,JP,Fukushima,,340560,264602
Iwaki,37.0333,140.8833,Japan,JP,Fukushima,,340231,340231
Kawagoe,35.9177,139.4911,Japan,JP,Saitama,,337931,337931
Asahikawa,43.7706,142.3650,Japan,JP,Hokkaidō,,334692,334692
Maebashi,36.3833,139.0667,Japan,JP,Gunma,admin,332999,332999
Kōchi,33.5667,133.5333,Japan,JP,Kōchi,admin,328930,328930
Naha,26.2122,127.6789,Japan,JP,Okinawa,admin,317606,317606
Yokkaichi,34.9667,136.6167,Japan,JP,Mie,,310145,310145
Kasugai,35.2500,136.9667,Japan,JP,Aichi,,306876,306876
Akita,39.7197,140.1025,Japan,JP,Akita,admin,306178,306178
Ōakashichō,34.6431,134.9975,Japan,JP,Hyōgo,,299094,299094
Morioka,39.6833,141.1500,Japan,JP,Iwate,admin,292554,292554
